year,city,country,avg_temp
1856,Kano,Nigeria,26.32
1857,Kano,Nigeria,25.43
1858,Kano,Nigeria,25.98
1859,Kano,Nigeria,25.78
1860,Kano,Nigeria,25.31
1861,Kano,Nigeria,25.25
1862,Kano,Nigeria,25.22
1863,Kano,Nigeria,
1864,Kano,Nigeria,
1865,Kano,Nigeria,
1866,Kano,Nigeria,
1867,Kano,Nigeria,
1868,Kano,Nigeria,
1869,Kano,Nigeria,
1870,Kano,Nigeria,
1871,Kano,Nigeria,
1872,Kano,Nigeria,
1873,Kano,Nigeria,26.55
1874,Kano,Nigeria,25.55
1875,Kano,Nigeria,25.41
1876,Kano,Nigeria,25.38
1877,Kano,Nigeria,25.96
1878,Kano,Nigeria,26.13
1879,Kano,Nigeria,25.48
1880,Kano,Nigeria,25.57
1881,Kano,Nigeria,26.01
1882,Kano,Nigeria,25.52
1883,Kano,Nigeria,25.86
1884,Kano,Nigeria,26.06
1885,Kano,Nigeria,22.60
1886,Kano,Nigeria,25.28
1887,Kano,Nigeria,24.95
1888,Kano,Nigeria,25.22
1889,Kano,Nigeria,25.31
1890,Kano,Nigeria,24.51
1891,Kano,Nigeria,25.06
1892,Kano,Nigeria,25.33
1893,Kano,Nigeria,25.31
1894,Kano,Nigeria,25.43
1895,Kano,Nigeria,25.76
1896,Kano,Nigeria,25.48
1897,Kano,Nigeria,25.92
1898,Kano,Nigeria,25.48
1899,Kano,Nigeria,25.82
1900,Kano,Nigeria,25.92
1901,Kano,Nigeria,25.87
1902,Kano,Nigeria,25.65
1903,Kano,Nigeria,25.47
1904,Kano,Nigeria,25.08
1905,Kano,Nigeria,24.97
1906,Kano,Nigeria,25.53
1907,Kano,Nigeria,25.07
1908,Kano,Nigeria,25.61
1909,Kano,Nigeria,25.90
1910,Kano,Nigeria,25.64
1911,Kano,Nigeria,25.70
1912,Kano,Nigeria,25.34
1913,Kano,Nigeria,26.31
1914,Kano,Nigeria,26.71
1915,Kano,Nigeria,26.36
1916,Kano,Nigeria,25.82
1917,Kano,Nigeria,26.63
1918,Kano,Nigeria,26.08
1919,Kano,Nigeria,26.35
1920,Kano,Nigeria,25.51
1921,Kano,Nigeria,26.04
1922,Kano,Nigeria,26.31
1923,Kano,Nigeria,26.09
1924,Kano,Nigeria,26.35
1925,Kano,Nigeria,26.01
1926,Kano,Nigeria,26.52
1927,Kano,Nigeria,26.45
1928,Kano,Nigeria,26.59
1929,Kano,Nigeria,26.08
1930,Kano,Nigeria,26.56
1931,Kano,Nigeria,27.07
1932,Kano,Nigeria,26.25
1933,Kano,Nigeria,26.62
1934,Kano,Nigeria,26.17
1935,Kano,Nigeria,26.49
1936,Kano,Nigeria,26.27
1937,Kano,Nigeria,26.14
1938,Kano,Nigeria,26.55
1939,Kano,Nigeria,26.26
1940,Kano,Nigeria,26.50
1941,Kano,Nigeria,27.08
1942,Kano,Nigeria,26.87
1943,Kano,Nigeria,26.33
1944,Kano,Nigeria,26.40
1945,Kano,Nigeria,25.93
1946,Kano,Nigeria,26.12
1947,Kano,Nigeria,26.51
1948,Kano,Nigeria,25.85
1949,Kano,Nigeria,26.53
1950,Kano,Nigeria,25.91
1951,Kano,Nigeria,26.02
1952,Kano,Nigeria,25.92
1953,Kano,Nigeria,25.93
1954,Kano,Nigeria,26.07
1955,Kano,Nigeria,25.77
1956,Kano,Nigeria,26.02
1957,Kano,Nigeria,25.90
1958,Kano,Nigeria,26.44
1959,Kano,Nigeria,26.04
1960,Kano,Nigeria,26.24
1961,Kano,Nigeria,25.47
1962,Kano,Nigeria,26.12
1963,Kano,Nigeria,26.61
1964,Kano,Nigeria,26.05
1965,Kano,Nigeria,26.00
1966,Kano,Nigeria,26.00
1967,Kano,Nigeria,25.94
1968,Kano,Nigeria,26.20
1969,Kano,Nigeria,26.78
1970,Kano,Nigeria,26.21
1971,Kano,Nigeria,26.16
1972,Kano,Nigeria,26.53
1973,Kano,Nigeria,27.05
1974,Kano,Nigeria,25.97
1975,Kano,Nigeria,25.89
1976,Kano,Nigeria,26.31
1977,Kano,Nigeria,26.04
1978,Kano,Nigeria,26.13
1979,Kano,Nigeria,26.44
1980,Kano,Nigeria,26.37
1981,Kano,Nigeria,26.15
1982,Kano,Nigeria,26.37
1983,Kano,Nigeria,26.30
1984,Kano,Nigeria,26.53
1985,Kano,Nigeria,26.38
1986,Kano,Nigeria,26.60
1987,Kano,Nigeria,27.01
1988,Kano,Nigeria,26.33
1989,Kano,Nigeria,25.63
1990,Kano,Nigeria,26.85
1991,Kano,Nigeria,26.43
1992,Kano,Nigeria,25.96
1993,Kano,Nigeria,26.51
1994,Kano,Nigeria,26.13
1995,Kano,Nigeria,26.56
1996,Kano,Nigeria,26.64
1997,Kano,Nigeria,26.66
1998,Kano,Nigeria,26.93
1999,Kano,Nigeria,26.85
2000,Kano,Nigeria,26.38
2001,Kano,Nigeria,26.47
2002,Kano,Nigeria,26.96
2003,Kano,Nigeria,26.83
2004,Kano,Nigeria,26.99
2005,Kano,Nigeria,27.27
2006,Kano,Nigeria,27.26
2007,Kano,Nigeria,27.25
2008,Kano,Nigeria,26.71
2009,Kano,Nigeria,27.48
2010,Kano,Nigeria,27.64
2011,Kano,Nigeria,27.20
2012,Kano,Nigeria,26.87
2013,Kano,Nigeria,27.76
